inches,metres,Next biggest,Recommended screen
0,0,0.1905,0
7.5,0.1905,0.2159,0.1016
8.5,0.2159,0.2286,0.1143
9,0.2286,0.2413,0.127
9.5,0.2413,0.269875,0.1397
10.625,0.269875,0.295275,0.168275
11.625,0.295275,0.31115,0.1778
12.25,0.31115,0.34925,0.1778
13.75,0.34925,0.381,0.244475
15,0.381,0.4064,0.27305
16,0.4064,0.4445,0.27305
17.5,0.4445,0.4699,0.339725
18.5,0.4699,0.508,0.339725
20,0.508,0.5588,0.339725
22,0.5588,0.6096,0.339725
24,0.6096,0.6604,0.508
26,0.6604,0.7112,0.508
28,0.7112,0.762,0.6096
30,0.762,0.8128,0.6096
32,0.8128,0.8636,0.6096
34,0.8636,0.9144,0.762
36,0.9144,pre-collar,
